Name,Beta,Jensen Alpha,Sharpe Ratio,Treynor Ratio,Tracking Error,AUM
BAHANA C OPTIMA PROTECTED FUND 78,0.000000,0.000000,-1.604465,0.000000,0.008156,153191382029.179993
BATAVIA DANA SAHAM,1.167976,-0.077230,0.670013,0.085262,-0.051801,6586156317195.889648
RD PRATAMA DANA SAHAM UNGGULAN,1.059453,-0.094642,0.450005,0.062054,-0.085642,28094066008.310001
BAHANA DANA LIKUID,0.000000,0.000000,-41.026085,0.000000,0.026949,5242687240165.019531
ARCHITAS SAHAM DINAMIS,1.088358,-0.032639,0.812747,0.121396,-0.019263,60647837532.720001
BAHANA PROTECTED FUND G 65,0.000000,0.000000,-2.037612,0.000000,0.000176,199876395495.559998
BNP PARIBAS EKUITAS,1.079062,-0.055017,0.790497,0.100399,-0.043048,1164066157848.020020
DANAREKSA ANGGREK FLEKSIBEL,0.669814,-0.046114,0.585434,0.082540,-0.096099,28215136931.259998
REKSA DANA BNI-AM DANA PENDAPATAN TETAP SYARIAH DOMPET DHUAFA,0.187382,-0.018637,-2.554077,-0.127378,0.004051,74954816146.429993
Mandiri Pasar Uang Syariah,0.000000,0.000000,-33.779060,0.000000,0.025340,390737048405.679993
SIMAS DANAMAS MANTAP PLUS,0.004462,-0.012613,-2.491292,-2.854414,0.015182,774309841291.079956
ASHMORE DANA USD NUSANTARA,0.914565,-0.154827,-3.039164,-0.197210,-0.152442,62172407.694070
BAHANA SUKUK SYARIAH,0.371110,0.002230,-0.645819,-0.021911,0.019788,209374689559.209991
MEGA DANA OBLIGASI DUA,0.509785,0.001843,-0.517967,-0.024304,0.015529,1778190556.430000
FWD ASSET BOND FUND,0.726598,-0.028521,-2.589810,-0.067172,-0.020888,127678744971.020004
Asanusa Amanah Syariah Fund,0.080677,-0.746334,-1.392152,-9.254734,-0.742810,3040330259.970000
Reksa Dana BAHANA PENDAPATAN TETAP UTAMA 2,0.961390,0.328927,1.286601,0.314218,0.330005,1308942986.000000
ABF INDONESIA BOND INDEX FUND,0.704579,-0.009502,-1.648268,-0.041405,-0.001254,4992884618074.000000
BATAVIA DANA SAHAM SYARIAH,0.906277,0.082379,0.505543,0.087065,0.082738,131090867554.350006
TF SUPER MAXXI,0.885844,0.242261,0.988137,0.424865,0.224979,484065759316.380005
BAHANA PROTECTED FUND H 82,0.000000,0.000000,-2.942518,0.000000,-0.073161,53647059770.739998
MEGA DANA PENDAPATAN TETAP,0.492206,0.029826,0.450034,0.032677,0.044003,136643288552.990005
Sucorinvest Proteksi 28,0.000000,0.000000,-0.234246,0.000000,0.040622,293421941810.669983
MEGA ASSET MULTICASH,0.000000,0.000000,-1.227562,0.000000,-0.288283,259391023091.589996
BNI-AM Proteksi Adenium,0.000000,0.000000,-0.419114,0.000000,0.048432,208231346127.079987
NIKKO GEBYAR INDONESIA DUA,0.496190,-0.041595,-3.984384,-0.111748,-0.027529,100690560931.639999
PRINCIPAL TOTAL RETURN EQUITY FUND KELAS O,1.064936,-0.071402,0.659452,0.084336,-0.061572,86419352256.750000
DANAREKSA SYARIAH SAHAM,0.836248,0.001584,-0.010430,-0.001940,0.002211,20818083137.849998
KIWOOM INDONESIA OPTIMUM FUND,0.497912,-0.029060,0.658140,0.093021,-0.105068,79940896279.240005
MEGA DANA OBLIGASI SYARIAH,-0.992930,-0.754016,-2.030787,0.729817,-0.695090,682659164.070000
DANA PRATAMA EKUITAS,0.954486,-0.112880,0.235231,0.033122,-0.119770,12304172204.330000
BAHANA LIQUID USD,0.000000,0.000000,-457.498016,0.000000,0.003242,52806354.168480
BNI-AM DANA PASAR UANG KEMILAU,0.000000,0.000000,-15.098374,0.000000,0.033496,191247380449.290009
INSIGHT MONEY,0.000000,0.000000,-5.833199,0.000000,0.058062,269128062497.350006
Maybank Dana Proteksi 4,0.000000,0.000000,-26.899460,0.000000,0.000023,551082032.000000
Batavia Proteksi Cemerlang 87,0.000000,0.000000,-2.389390,0.000000,-0.032216,153220540775.230011
Ashmore Dana Obligasi Strategis Nusantara,0.986538,-0.009985,-1.400055,-0.038040,-0.009609,253365455559.829987
Mandiri Seri 201,0.000000,0.000000,-2.274545,0.000000,-0.025162,71996920579.050003
PRINCIPAL TOTAL RETURN BOND FUND,0.097848,-0.085350,-3.878410,-0.900189,-0.060162,88267647395.279999
DANAREKSA MELATI PENDAPATAN UTAMA II,0.586820,-0.074890,-3.158248,-0.155540,-0.063355,706312826860.750000
BATAVIA DANA DINAMIS,0.775755,-0.043459,0.756342,0.095364,-0.077406,456983198691.539978
DANAREKSA SERUNI PASAR UANG II,0.000000,0.000000,-23.213512,0.000000,0.027391,3824453404371.509766
Cipta ETF Index LQ45,1.174575,0.000622,1.170852,0.151914,0.027050,11485816518.270000
CIPTA SYARIAH BALANCE,0.574557,0.077426,0.634265,0.130924,0.079057,5030993772.770000
BATAVIA DANA OBLIGASI CEMERLANG,0.598203,-0.079237,-3.529898,-0.160378,-0.068019,583662859253.469971
BAHANA PRIMAVERA 99 KELAS S,1.155178,-0.019678,1.035875,0.134351,0.003814,1401979288625.439941
Panin 15,0.000000,0.000000,-2.384686,0.000000,-0.006735,16997293111.030001
HPAM Smart Protected XII,0.000000,0.000000,-0.599970,0.000000,0.047972,57891669744.529999
Syailendra Pendapatan Tetap Optima Syariah,0.458211,-0.061184,-3.000885,-0.161448,-0.046058,178420965338.339996
Panin Dana Berimbang Dua,0.658531,-0.114579,-0.128602,-0.022606,-0.166272,661297686215.920044
REKSA DANA TRIMEGAH PUNDI KAS 6,0.000000,0.000000,-40.586277,0.000000,0.028357,200129827399.869995
Prospera Proteksi VI,0.000000,0.000000,-2.025684,0.000000,-0.038497,72796672092.690002
Simas Pasar Uang Indonesia,0.000000,0.000000,-16.851992,0.000000,0.023105,10664793854.750000
Danareksa Melati Obligasi Negara Indonesia,0.658873,-0.055592,-3.448607,-0.112294,-0.046069,378925069814.750000
BNP PARIBAS PESONA,1.050353,-0.079665,0.594550,0.075539,-0.072042,1013842439659.239990
BNP Paribas Omega,0.510129,-0.031855,-2.996862,-0.090364,-0.018178,95294704595.600006
SETIABUDI DANA PASAR UANG,0.000000,0.000000,-20.179916,0.000000,0.039739,441121968747.820007
Insight Terproteksi 34,0.000000,0.000000,-0.851610,0.000000,-0.011909,197848274895.920013
Dana Pasti,0.016727,-0.006119,-2.298716,-0.393733,0.021333,424975732041.559998
FWD ASSET SECTORAL EQUITY FUND,1.056321,-0.122948,0.276449,0.034992,-0.114422,108693214399.610001
BNI-AM Prioritas Mindi,0.133377,-0.016110,-0.529332,-0.124616,-0.012788,38239379725.480003
ARCHITAS SAHAM UTAMA,1.136294,0.020241,1.279460,0.169198,0.040874,394867536364.059998
Premier ETF IDX High Dividend 20,1.138680,0.153215,2.046410,0.285940,0.174209,61011685703.220001
BATAVIA LQ45 PLUS,1.164904,-0.050045,0.835528,0.108424,-0.025081,29567099903.000000
Bahana Icon Syariah,0.835478,-0.015445,-0.133167,-0.022319,-0.014814,14755347429.510000
PANIN DANA PRIMA,1.033894,-0.030568,0.892733,0.121818,-0.025437,329224211478.750000
Mandiri Seri 186,0.000000,0.000000,-2.720321,0.000000,-0.020518,186191075796.470001
Bahana Centrum Protected Fund 193,0.000000,0.000000,-2.118883,0.000000,-0.051201,2292115120.480000
Cipta Pendapatan Tetap Unggulan Syariah,0.344695,-0.681873,-3.201368,-1.789073,-0.892723,0.000000
PNM Falah 2,0.000000,0.000000,-38.923168,0.000000,0.027576,50060093125.800003
Batavia Proteksi Gebyar 11,0.000000,0.000000,-2.101492,0.000000,-0.000746,241214915779.700012
BNI-AM Proteksi Maheswari,0.000000,0.000000,-2.678453,0.000000,-0.019438,39021903307.699997
BATAVIA USD BALANCED ASIA,0.015973,-0.133698,-8.467231,-8.218747,-0.282664,10273074.689560
Ashmore Saham Providentia Nusantara,1.175886,-0.084144,0.628771,0.079827,-0.057517,66285884085.000000
SAM SUKUK SYARIAH SEJAHTERA,0.430277,-0.030141,-2.349656,-0.097969,-0.014235,115014091329.940002
Sequis Pendapatan Tetap,0.541248,-0.002961,-1.109937,-0.033390,0.009847,929134034379.359985
Cipta Saham Unggulan Syariah,0.778761,0.026384,0.165311,0.030046,0.027232,18287402231.209999
Bahana Protected Fund 170,0.000000,0.000000,-2.117231,0.000000,-0.013587,125062593707.600006
Mandiri Seri 224,0.000000,0.000000,-2.038570,0.000000,0.001349,391647704364.630005
Bahana Protected Fund 206,0.000000,0.000000,-1.578139,0.000000,0.025313,203680158702.579987
Maybank Proteksi 19,0.000000,0.000000,-1.731405,0.000000,-0.033958,31226440952.000000
Insight Indeks IDX30,1.109425,-0.021503,0.996385,0.132002,-0.004938,1093985354.200000
Manulife Obligasi Unggulan Kelas I1,-0.045899,-0.094585,-2.710905,2.032794,-0.065384,674399812698.140015
BNI-AM DANA PENDAPATAN TETAP NIRWASITA,0.713460,-0.019346,-2.023621,-0.055035,-0.011346,39532217470.089996
PACIFIC SAHAM SYARIAH,0.077589,-0.062433,-0.321410,-0.811621,-0.056023,89024757827.139999
BNI-AM Dana Saham Bandagara,1.169825,-0.065917,0.736702,0.095037,-0.040208,357856493370.679993
Bahana Progressive Protected Fund 178,0.000000,0.000000,-1.277133,0.000000,-0.391120,47873653879.930000
REKSA DANA SYARIAH MAYBANK MONEY MARKET FUND 2,0.000000,0.000000,-19.121450,0.000000,0.041326,11419308256.400000
ITB Harmoni BNI-AM,0.723834,-0.025029,-2.421826,-0.062497,-0.017318,81597439527.550003
